match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.1,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.2,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.3,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Naveen-ul-Haq,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.4,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,6,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.5,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,45.6,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Naveen-ul-Haq,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.1,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Noor Ahmad,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.2,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Noor Ahmad,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.3,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Noor Ahmad,2,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.4,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Noor Ahmad,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.5,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Noor Ahmad,0,1,1,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.6,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Noor Ahmad,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,46.7,South Africa,Afghanistan,HE van der Dussen,AL Phehlukwayo,Noor Ahmad,2,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,47.1,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,6,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,47.2,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,4,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",2,47.3,South Africa,Afghanistan,AL Phehlukwayo,HE van der Dussen,Naveen-ul-Haq,6,0,,,,,,,,,
